# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
           lp_658  27.73    1.0 -261.12     1.14  -4.05   1.34   -9.059    1.031    5
           lp_861 -23.04   1.91 -218.71     1.35  -4.03   0.83   -5.792    1.637    5
           lp_866 -12.58    3.0 -272.87     1.46 -12.86    1.2   -17.68    2.918    1
           lp_930   -9.8   0.24  -284.5     0.86  13.63    0.9   -36.72    0.477    5
           lp_947  90.16   0.93 -205.37      0.9  -9.23   0.68    35.74      0.8    7
          lynga_1 -32.03   0.52 -242.24     0.65  -0.85   0.95   -2.597    0.892    6
          lynga_2 -32.03   0.74  -249.7     0.76  -2.77   0.65    15.19    0.668    1
          lynga_4  -46.1   2.08  -258.1     1.48   5.92   0.63   18.684    1.619    0
          lynga_5 -68.14   1.16 -260.06     1.02   2.57   0.85   28.111    1.048    3
          lynga_6 -48.13    4.2 -252.37     2.72  -0.61   1.02    7.028    3.315   10
          lynga_9 -50.22   1.55 -268.62     0.74   6.58    0.2   31.477    1.337    2
        mamajek_1  16.69   0.78 -232.76     0.87  -3.45   0.94   -2.146    1.762    2
      melotte_101    9.4   2.04 -225.83     1.99   6.91   0.96   -3.533    0.957    1
      melotte_105  14.18  12.51 -217.87    12.36   3.71   1.19    -5.55    2.132    5
       melotte_66  21.94   0.95 -245.68     1.58  -0.84   2.15    -51.5    1.946   10
       melotte_71  50.98   0.34 -251.63     0.73  11.09    0.9   18.455    0.617   21
       melotte_72   71.5   0.38 -252.82     0.92  -8.33   1.07   39.301    0.726    8
         moffat_1 -39.67   0.66 -244.71     0.82    0.5   0.96    1.528    0.786    1
         muzzio_1   3.13   9.56 -253.48     9.05  -1.14   1.22   -8.113     2.33    2
         ngc_1647  -6.71   0.17 -250.81     0.56   4.51   0.58  -19.015    0.238   13
         ngc_1817  65.21   0.99 -238.01     0.72  -8.59   0.74   46.609    0.991   40
         ngc_1977  30.71   0.17 -236.38     0.54  -1.31   0.53    9.038    0.366    4
         ngc_1980  26.68   0.15 -239.55     0.34   0.55   0.36    6.793    0.274   12
         ngc_2112  31.64   0.66 -260.92     0.67  -1.25   0.66   14.759    0.628   19
         ngc_2141  28.06   3.87 -231.98     2.14  -4.11   2.16  -13.456    3.704    9
         ngc_2158  26.63   1.94 -218.75     2.39 -13.24   2.91    4.246    1.945   12
         ngc_2168  -7.86   0.25 -238.41     0.83   9.23   0.84  -23.227    0.275   15
         ngc_2169  10.45  11.11 -245.56     2.85  -0.74   0.92   -9.304   10.968    1
         ngc_2183   53.4   2.32 -231.86     1.62 -14.77   1.51   23.695    2.075    3
         ngc_2184  42.07    0.6  -232.9     0.58  -2.39   0.52    17.45    0.591   14
         ngc_2186  21.98   0.26 -225.45      0.7  -1.14   0.68  -17.842    0.354    1
         ngc_2194  10.52   2.35 -228.94     1.47   3.57   1.52  -24.404    2.263    5
         ngc_2204  92.23   1.48  -227.4     1.45 -13.26    1.3   24.328    1.554   15
         ngc_2215  -2.45   0.33 -240.19     0.45   2.22   0.42  -36.893    0.437    4
         ngc_2225  41.66   6.06 -234.01     3.03  -0.26   1.53  -13.869    4.992    1
         ngc_2236  60.21   0.47 -235.26     1.18  -2.69    1.1   22.392    0.563    6
         ngc_2243  59.63   0.76 -272.36      1.5   3.57   1.78   28.854    1.366    4
         ngc_2244  32.86    1.0 -243.98     1.67  -2.32   1.76    6.205    1.168    1
         ngc_2251  25.62   0.12 -219.19      0.8  -0.47   0.73  -10.334    0.347    2
         ngc_2254  52.64   2.79 -225.83     1.35    1.4   0.87    14.96    2.631    1
         ngc_2259  65.86    1.1 -218.98     1.53  -0.63   1.47   23.518      1.1    1
